work,id,t,axis_t,axis_r,axis_m,axis_g,axis_q,priority,axis_t_source,axis_r_source,axis_m_source,axis_g_source,axis_q_source,priority_source
秋.md,WL-WORK-1235,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
科西嘉兄弟.md,WL-WORK-2586,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
科雷马故事.md,WL-WORK-1821,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
秦腔.md,WL-WORK-2875,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
移动火星.md,WL-WORK-2941,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
移动靶.md,WL-WORK-0088,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
移居北方的时节.md,WL-WORK-2851,T5,T5 二战后多极文学,R1 西亚—地中海古老传统,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
穆斯林的葬礼.md,WL-WORK-2705,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族 | QH3.3 种族与族群,△,existing,existing,existing,existing,existing,existing
穿绿裤子的唐·希尔.md,WL-WORK-2587,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
穿越.md,WL-WORK-2588,T6,T6 当代全球文学,R8 东南亚文学 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
窗外.md,WL-WORK-2108,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
窗边的小豆豆.md,WL-WORK-2680,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说 | G5 生命书写,QH2.3 家庭与家族 | QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
站在桑给巴尔.md,WL-WORK-1239,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
章鱼.md,WL-WORK-M2-A53123CA7A84,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 自然主义,G3 小说,QH4 社会、阶级与劳动,◆,existing,t_default,existing,t_default,t_default,other_topic
童年.md,WL-WORK-1240,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
童年·少年·青年.md,WL-WORK-1241,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
童年的终结.md,WL-WORK-0307,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
竹林中.md,WL-WORK-2109,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QH5 权力、制度与秩序,△,existing,existing,existing,existing,mechanism,existing
笑傲江湖.md,WL-WORK-2589,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
笑孩.md,WL-WORK-2968,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
笑忘录.md,WL-WORK-2110,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
笨伯联盟.md,WL-WORK-3001,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
第一圈.md,WL-WORK-1824,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,topic_direct,existing
第一梦（索尔·胡安娜）.md,WL-WORK-T2-PRIMERO-SUENO,T2,T2 早期现代文学,R6 拉丁美洲与加勒比,M1 早期现代思想与美学,G1 诗歌,QH1 自我、存在与生命 | QH8 信仰、伦理与超越,◆,existing,existing,existing,existing,existing,existing
第一炉香.md,WL-WORK-2111,T4,T4 全球现代主义时代,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
第七天.md,WL-WORK-2682,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH2.3 家庭与家族 | QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
第二个太阳.md,WL-WORK-2864,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
第二十二条军规.md,WL-WORK-0792,T5,T5 二战后多极文学,R5 北美文学 | R5 北美文学,M5 战后与当代美学范式,G3 小说,QT5 冒险与探索叙事 | QT7 历史叙事 | QH6 战争、暴力与创伤,★,existing,existing,existing,existing,existing,existing
第二基地.md,WL-WORK-0297,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
第五季.md,WL-WORK-0481,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT3 奇幻,△,existing,existing,existing,existing,existing,existing
第十一站.md,WL-WORK-0434,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
第十二夜.md,WL-WORK-2112,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
第四间冰期.md,WL-WORK-0441,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
等待戈多.md,WL-WORK-1825,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式 | M5.1 战后思想与美学范式,G2 戏剧,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
等待的岁月.md,WL-WORK-1242,T2,T2 早期现代文学,R2 东亚文学,M1 早期现代思想与美学,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
等待野蛮人.md,WL-WORK-3199,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,◆,existing,existing,existing,existing,mechanism,existing
简·布罗迪小姐的青春.md,WL-WORK-1827,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
简·爱.md,WL-WORK-1243,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH2.1 爱情与欲望 | QH2.3 家庭与家族 | QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
米德尔马契.md,WL-WORK-1244,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH2.3 家庭与家族 | QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
米德洛锡安的心.md,WL-WORK-1245,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT7 历史叙事,△,existing,existing,existing,existing,existing,existing
米泽丽.md,WL-WORK-0794,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
米示拿.md,WL-WORK-R1-MISHNAH,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,t_default,t_default,other_topic
精灵宝钻.md,WL-WORK-0796,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
精灵王之女.md,WL-WORK-0797,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
素食者.md,WL-WORK-2721,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH1 自我、存在与生命 | QH3.1 性别与身体,◆,existing,existing,existing,existing,existing,existing
索列姆之歌.md,WL-WORK-1491,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
索拉里斯星.md,WL-WORK-0332,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
紫丁香庄事件.md,WL-WORK-0160,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
紫电青霜.md,WL-WORK-2591,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
紫线镇尼巡逻队.md,WL-WORK-3147,T6,T6 当代全球文学,R3 南亚文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,mechanism,existing
紫色姐妹花.md,WL-WORK-1247,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,◆,existing,existing,existing,existing,existing,existing
紫色木槿.md,WL-WORK-1248,T6,T6 当代全球文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,△,existing,existing,existing,existing,existing,existing
紫艾草骑士.md,WL-WORK-2592,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
繁花.md,WL-WORK-2885,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
红与黑.md,WL-WORK-1250,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
红姐妹玛丽.md,WL-WORK-2967,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
红字.md,WL-WORK-1251,T3,T3 19世纪现代文学体系,R5 北美文学 | R5 北美文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 超验主义,G3 小说,QT7 历史叙事,★,existing,existing,existing,existing,existing,existing
红屋骑士.md,WL-WORK-2593,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
红拂夜奔.md,WL-WORK-2693,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH5 权力、制度与秩序,△,existing,existing,existing,existing,existing,existing
红楼梦.md,WL-WORK-1252,T2,T2 早期现代文学,R2 东亚文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望 | QH2.3 家庭与家族 | QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
红死病的假面.md,WL-WORK-0798,T3,T3 19世纪现代文学体系,R5 北美文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
红火星.md,WL-WORK-0374,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
红玫瑰与白玫瑰.md,WL-WORK-2114,T4,T4 全球现代主义时代,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望,△,existing,existing,existing,existing,existing,existing
红色尖叫.md,WL-WORK-3121,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
红色收获.md,WL-WORK-0070,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
红衫.md,WL-WORK-0486,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
红钉.md,WL-WORK-0799,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
红高粱家族.md,WL-WORK-1255,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式 | M5.1 战后思想与美学范式,G3 小说,QT7 历史叙事 | QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
红龙.md,WL-WORK-0124,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
约伯记.md,WL-WORK-1492,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
约婚夫妇.md,WL-WORK-1256,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT7 历史叙事,◆,existing,existing,existing,existing,existing,existing
约翰·契弗短篇小说集.md,WL-WORK-2999,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
纪之川.md,WL-WORK-1257,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族,△,existing,existing,existing,existing,existing,existing
纯洁的血.md,WL-WORK-2596,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
纯真年代.md,WL-WORK-2116,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.1 爱情与欲望,★,existing,existing,existing,existing,existing,existing
纳特·特纳的自白.md,WL-WORK-2994,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
纺银.md,WL-WORK-0800,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
纽约2140.md,WL-WORK-0429,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
纽约诗人.md,WL-WORK-1829,T4,T4 全球现代主义时代,R4 欧洲文学,M3.1 现代主义 / Modernism,G1 诗歌,QH1 自我、存在与生命,△,existing,existing,existing,existing,t_default,existing
组织部来了个年轻人.md,WL-WORK-1830,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,◆,existing,existing,existing,existing,topic_direct,existing
细雪.md,WL-WORK-1258,T5,T5 二战后多极文学,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QH2.3 家庭与家族,◆,existing,existing,existing,existing,existing,existing
织工.md,WL-WORK-0801,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式 | M2 19世纪文学思潮 / 自然主义,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
终极实验.md,WL-WORK-2942,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
终结的感觉.md,WL-WORK-2118,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH7 历史、记忆与时间,△,existing,existing,existing,existing,existing,existing
绑架.md,WL-WORK-0802,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT5 冒险与探索叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.4 欧洲剑客,△,existing,existing,existing,existing,existing,existing
结局.md,WL-WORK-2597,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M3 现代主义与先锋派,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.6 Gaucho | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
给樱桃以性别.md,WL-WORK-2689,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH2.1 爱情与欲望 | QH3.1 性别与身体,△,existing,existing,existing,existing,existing,existing
绝代双骄.md,WL-WORK-2598,T5,T5 二战后多极文学,R2 东亚文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
续小五义.md,WL-WORK-2600,T3,T3 19世纪现代文学体系,R2 东亚文学,M2 19世纪文学思潮,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.1 武侠,△,existing,existing,existing,existing,existing,existing
绳结与十字架.md,WL-WORK-0111,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
维吉尔之死.md,WL-WORK-1832,T5,T5 二战后多极文学,R4 欧洲文学,M3.1 现代主义 / Modernism,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,mechanism,existing
维纳斯先生.md,WL-WORK-M2-F68585117B0F,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 / 颓废主义,G3 小说,QH4 社会、阶级与劳动,◆,existing,t_default,existing,t_default,t_default,other_topic
绿山墙的安妮.md,WL-WORK-1259,T4,T4 全球现代主义时代,R5 北美文学 | R5 北美文学,M3 现代主义与先锋派,G3 小说,QH2.5 童年与成长,◆,existing,existing,existing,existing,existing,existing
绿房子.md,WL-WORK-1833,T5,T5 二战后多极文学,R6 拉丁美洲与加勒比,M5 战后与当代美学范式 | M4 集体文学运动与文化政治,G3 小说,QH5 权力、制度与秩序,△,existing,existing,existing,existing,mechanism,existing
绿火星.md,WL-WORK-0375,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
绿茶.md,WL-WORK-0804,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
缓流.md,WL-WORK-2943,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
编年史（塔西佗）.md,WL-WORK-R1-TACITUS-ANNALS,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QH8 信仰、伦理与超越,◆,existing,existing,not_applicable_pre_modern,t_default,t_default,other_topic
缩小的人.md,WL-WORK-0806,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
网络效应.md,WL-WORK-2925,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
罗兰之歌.md,WL-WORK-1262,T1,T1 中古多中心文学世界,R4 欧洲文学,,G3 小说,QT7 历史叙事 | QH6 战争、暴力与创伤 | QT8 英雄、边疆与法外者文化传统 | QT8.2 欧洲骑士 | QT8.4 欧洲剑客,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
罗密欧与朱丽叶.md,WL-WORK-2119,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH2.1 爱情与欲望,◆,existing,existing,existing,existing,existing,existing
罗布·罗伊.md,WL-WORK-1263,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT7 历史叙事 | QT8 英雄、边疆与法外者文化传统 | QT8.7 侠盗,△,existing,existing,existing,existing,existing,existing
罗摩功行录.md,WL-WORK-T2-RAMCHARITMANAS,T2,T2 早期现代文学,R3 南亚文学,M1 早期现代思想与美学,G1 诗歌,QH8 信仰、伦理与超越,★,existing,existing,existing,existing,existing,existing
罗摩衍那.md,WL-WORK-1493,T0,T0 文学源头与古代文学,R3 南亚文学,,G3 小说,QT9 神话、传说与民间叙事,★,existing,existing,not_applicable_pre_modern,existing,existing,existing
罗斯玛丽的婴儿.md,WL-WORK-0808,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
罗杰疑案.md,WL-WORK-0022,T4,T4 全球现代主义时代,R4 欧洲文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
罗生门·鼻.md,WL-WORK-2818,T4,T4 全球现代主义时代,R2 东亚文学,M3 现代主义与先锋派,G3 小说,QH5 权力、制度与秩序,◆,existing,existing,existing,existing,mechanism,existing
罗马帽子之谜.md,WL-WORK-0039,T4,T4 全球现代主义时代,R5 北美文学,M3 现代主义与先锋派,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
罪与罚.md,WL-WORK-2839,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮 | M2 19世纪文学思潮 / 现实主义,G3 小说,QH4 社会、阶级与劳动,★,existing,existing,existing,existing,t_default,existing
罪恶之谋.md,WL-WORK-0104,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT1 推理与犯罪叙事,△,existing,existing,existing,existing,existing,existing
羊群抬头.md,WL-WORK-1265,T5,T5 二战后多极文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
羊脂球.md,WL-WORK-2120,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH6 战争、暴力与创伤,△,existing,existing,existing,existing,existing,existing
美丽新世界.md,WL-WORK-0284,T4,T4 全球现代主义时代,R4 欧洲文学,M4 政治、民族与文化运动,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象 | QH5 权力、制度与秩序,★,existing,existing,existing,existing,existing,existing
美丽线.md,WL-WORK-3063,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
美丽者尚未诞生.md,WL-WORK-1834,T5,T5 二战后多极文学,R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH6 战争、暴力与创伤,★,existing,existing,existing,existing,topic_direct,existing
美国众神.md,WL-WORK-0809,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QT3 奇幻,△,existing,existing,existing,existing,existing,existing
美国佬.md,WL-WORK-1266,T6,T6 当代全球文学,R10.2 非洲离散文学 | R7 非洲文学,M5 战后与当代美学范式,G3 小说,QH2.5 童年与成长,★,existing,existing,existing,existing,existing,existing
美国牧歌.md,WL-WORK-3014,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
美国纪行.md,WL-WORK-1495,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G6 纪实与文学非虚构,QT14 旅行与游记,△,existing,existing,existing,existing,existing,existing
美狄亚.md,WL-WORK-1496,T0,T0 文学源头与古代文学,R1 西亚—地中海古老传统,,G3 小说,QT9 神话、传说与民间叙事,◆,existing,existing,not_applicable_pre_modern,existing,existing,existing
羚羊与秧鸡.md,WL-WORK-0364,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻 | QT6 乌托邦、反乌托邦与社会想象,△,existing,existing,existing,existing,existing,existing
群山回唱.md,WL-WORK-2714,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QH2.3 家庭与家族 | QH6 战争、暴力与创伤,△,existing,t_default,existing,existing,existing,existing
群星，我的归宿.md,WL-WORK-0321,T5,T5 二战后多极文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
群魔.md,WL-WORK-2841,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QH4 社会、阶级与劳动,◆,existing,existing,existing,existing,t_default,existing
羽化.md,WL-WORK-0812,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
老人与古人的谈话.md,WL-WORK-1497,T0,T0 文学源头与古代文学,R4 欧洲文学,,G3 小说,QT9 神话、传说与民间叙事,△,existing,existing,not_applicable_pre_modern,existing,existing,existing
老人与海.md,WL-WORK-0814,T5,T5 二战后多极文学,R5 北美文学,M3.1 现代主义 / Modernism,G3 小说,QT5 冒险与探索叙事 | QH1 自我、存在与生命,◆,existing,existing,existing,existing,existing,existing
老人的战争.md,WL-WORK-0417,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT2 科幻,△,existing,existing,existing,existing,existing,existing
老保姆的故事.md,WL-WORK-0815,T3,T3 19世纪现代文学体系,R4 欧洲文学,M2 19世纪文学思潮,G3 小说,QT4 恐怖与哥特,△,existing,existing,existing,existing,existing,existing
老实人.md,WL-WORK-2122,T2,T2 早期现代文学,R4 欧洲文学,M1 早期现代思想与美学,G3 小说,QH6 战争、暴力与创伤 | QH5 权力、制度与秩序,◆,existing,existing,existing,existing,existing,existing
老师好美.md,WL-WORK-2767,T6,T6 当代全球文学,R2 东亚文学,M5 战后与当代美学范式,G2 戏剧,QH2.3 家庭与家族 | QH2.5 童年与成长 | QH3.1 性别与身体,△,existing,existing,existing,existing,existing,existing
老无所依.md,WL-WORK-2601,T6,T6 当代全球文学,R5 北美文学,M5 战后与当代美学范式,G3 小说,QT8 英雄、边疆与法外者文化传统 | QT8.5 西部,△,existing,existing,existing,existing,existing,existing
老魔鬼.md,WL-WORK-3052,T6,T6 当代全球文学,R4 欧洲文学,M5 战后与当代美学范式,G3 小说,QH3 身份、身体与归属,△,existing,existing,existing,existing,t_default,existing
