work,id,t,history_position,stage,historical_role,mechanisms,history_source,stage_source,role_source,mechanism_source,needs_reading_calibration
群魔.md,WL-WORK-2841,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
羽化.md,WL-WORK-0812,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
老人与古人的谈话.md,WL-WORK-1497,T0,口传、仪式与文字形成的欧洲古代口传传统（补充）传统中，以“神话、宗教与仪式”为主要路径的奠基节点（读前预判）,早期文明：口传、仪式与文字形成,奠基,神话、宗教与仪式 | 口传、吟诵与表演 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
老人与海.md,WL-WORK-0814,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
老人的战争.md,WL-WORK-0417,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
老保姆的故事.md,WL-WORK-0815,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
老实人.md,WL-WORK-2122,T2,启蒙时期讽刺小说与公共批评,1700—1800：公共领域、启蒙与现代文学市场成熟,跨区域转译,印刷、书籍市场与读者扩大 | 俗语化、翻译与新读者共同体,existing_specific,existing,existing,existing,no
老师好美.md,WL-WORK-2767,T6,全球化出版与离散写作扩张，以“身份、性别与代表权”为主要路径的边缘突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,边缘突破,身份、性别与代表权 | 记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
老无所依.md,WL-WORK-2601,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
老魔鬼.md,WL-WORK-3052,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
耳语之人.md,WL-WORK-0036,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
耶户伙伴.md,WL-WORK-2602,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
耻.md,WL-WORK-3060,T6,全球化出版与离散写作扩张，以“迁徙、离散与跨国家庭”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,迁徙、离散与跨国家庭 | 全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
聊斋志异.md,WL-WORK-0816,T2,清初文言短篇、笔记传统与城市阅读,1600—1700：宫廷、城市、巴洛克与全球接触,跨区域转译,印刷、书籍市场与读者扩大 | 俗语化、翻译与新读者共同体,existing_specific,existing,existing,existing,no
聪明的恋人.md,WL-WORK-2604,T2,宫廷、城市、巴洛克与全球接触，以“印刷、书籍市场与读者扩大”为主要路径的成熟节点（读前预判）,1600—1700：宫廷、城市、巴洛克与全球接触,成熟,印刷、书籍市场与读者扩大 | 城市、宫廷与公共表演,generated_from_generic,existing,stage,existing,yes
肯尼尔沃思堡.md,WL-WORK-1269,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
能干的麦克劳林一家.md,WL-WORK-2962,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
能言善辩的农夫.md,WL-WORK-R1-ELOQUENT-PEASANT,T0,史诗、经典与公共文学成熟，以“文字、书写与文本固定”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
能面杀人事件.md,WL-WORK-0158,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
脚镯记.md,WL-WORK-3175,T1,跨区域传播、印刷与中古晚期转型的南亚多语言传统中，以“口传、讲唱与表演”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,口传、讲唱与表演 | 手稿、书写与区域性印刷,generated_from_generic,existing,stage,existing,yes
自动钢琴.md,WL-WORK-1270,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
自然.md,WL-WORK-M2-D63F619942B9,T3,市场扩张、现实主义与现代小说成熟，以“职业作者、版权与文学市场”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
自由坠落.md,WL-WORK-2937,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
致命教育.md,WL-WORK-0817,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
致我们终将逝去的青春.md,WL-WORK-2123,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
致青春.md,WL-WORK-2758,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
舒吉·贝恩.md,WL-WORK-3077,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
航运新闻.md,WL-WORK-3010,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
船长血.md,WL-WORK-2605,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
船难水手的故事.md,WL-WORK-1499,T0,口传、仪式与文字形成的古埃及传统中，以“神话、宗教与仪式”为主要路径的奠基节点（读前预判）,早期文明：口传、仪式与文字形成,奠基,神话、宗教与仪式 | 口传、吟诵与表演 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
良心个案.md,WL-WORK-2898,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
艳阳天.md,WL-WORK-1839,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
艾凡赫.md,WL-WORK-0818,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
芋虫.md,WL-WORK-0819,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
芙蓉镇.md,WL-WORK-2858,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
芬克勒问题.md,WL-WORK-3068,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
芬尼根的守灵夜.md,WL-WORK-1841,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
花千骨.md,WL-WORK-2744,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
芳华.md,WL-WORK-2125,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
芽むしり仔撃ち ／ 摘芽弃子.md,WL-WORK-1272,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
苏乌尚.md,WL-WORK-R1-SAVUSHUN,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学,generated_from_generic,existing,stage,existing,yes
苔丝.md,WL-WORK-M2-BC0CFCDA33D7,T3,市场扩张、现实主义与现代小说成熟，以“职业作者、版权与文学市场”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
苦力.md,WL-WORK-1843,T4,政治极化、反殖民与战时转型，以“帝国、殖民、反殖民与文化翻译”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
苦行记.md,WL-WORK-1501,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
英国病人.md,WL-WORK-1273,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
英格林萨迦.md,WL-WORK-1502,T1,跨区域传播、印刷与中古晚期转型的拉丁基督教与欧洲俗语文学圈中，以“手稿、书写与区域性印刷”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,手稿、书写与区域性印刷 | 教育、宫廷与宗教机构,generated_from_generic,existing,stage,existing,yes
英雄们.md,WL-WORK-0821,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
英雄无泪.md,WL-WORK-2607,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
英雄时代.md,WL-WORK-2873,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
苹果车.md,WL-WORK-3219,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
茫茫黑夜漫游.md,WL-WORK-1844,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
茶人三部曲.md,WL-WORK-2869,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
茶馆.md,WL-WORK-2678,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
荆棘与玫瑰之庭.md,WL-WORK-0823,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
荆棘丛.md,WL-WORK-3111,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
荆棘之城.md,WL-WORK-1274,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,记忆、创伤与历史重写 | 类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
草.md,WL-WORK-2677,T6,全球化出版与离散写作扩张，以“记忆、创伤与历史重写”为主要路径的反拨节点（读前预判）,1991—2008：全球化出版与离散写作扩张,反拨,记忆、创伤与历史重写 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
草原上的火焰.md,WL-WORK-1275,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
草叶集.md,WL-WORK-3167,T3,美国诗歌、民主主体与民族文学自我建构,1830—1870：市场扩张、现实主义与现代小说成熟,阶段性代表,民族语言与经典建构 | 作者自我出版与版本重写 | 跨大西洋传播,existing_specific,existing,existing,existing,no
荒凉山庄.md,WL-WORK-2835,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
荒原.md,WL-WORK-1845,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
荒原狼.md,WL-WORK-1276,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
荒野侦探.md,WL-WORK-1846,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
荨麻与骨头.md,WL-WORK-2927,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
荷兰人.md,WL-WORK-1847,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1965—1975：文学爆炸与全球分叉,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
荷马颂歌.md,WL-WORK-1503,T0,史诗、经典与公共文学成熟的古希腊传统中，以“神话、宗教与仪式”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,神话、宗教与仪式 | 口传、吟诵与表演 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
荷鲁斯与塞特之争.md,WL-WORK-1504,T0,口传、仪式与文字形成的古埃及传统中，以“神话、宗教与仪式”为主要路径的奠基节点（读前预判）,早期文明：口传、仪式与文字形成,奠基,神话、宗教与仪式 | 口传、吟诵与表演 | 文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
莉莉丝.md,WL-WORK-0825,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
莎乐美.md,WL-WORK-M2-C96C61511958,T3,市场扩张、现实主义与现代小说成熟，以“职业作者、版权与文学市场”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
莎士比亚十四行诗.md,WL-WORK-2126,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的转折节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,转折,印刷、书籍市场与读者扩大 | 宗教改革、教派竞争与文本政治,generated_from_generic,existing,mechanism,existing,yes
莫敲骨头.md,WL-WORK-3083,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
莫格街凶杀案.md,WL-WORK-0006,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
莫泊桑短篇小说精选.md,WL-WORK-2703,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 工业城市、阶级与社会问题,generated_from_generic,existing,stage,existing,yes
莫洛博士岛.md,WL-WORK-0274,T4,高峰现代主义与全球扩展，以“心理、主体与叙事视角”为主要路径的形式突破节点（读前预判）,1918—1930：高峰现代主义与全球扩展,形式突破,心理、主体与叙事视角 | 都市、技术与感知革命 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
莫雷尔的发明.md,WL-WORK-0469,T4,政治极化、反殖民与战时转型，以“都市、技术与感知革命”为主要路径的边缘突破节点（读前预判）,1930—1945：政治极化、反殖民与战时转型,边缘突破,都市、技术与感知革命 | 帝国、殖民、反殖民与文化翻译 | 小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,mechanism,existing,yes
莫雷拉.md,WL-WORK-0826,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的跨区域转译节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,跨区域转译,报刊、连载与大众读者 | 职业作者、版权与文学市场 | 翻译、帝国与跨洋市场,generated_from_generic,existing,mechanism,existing,yes
莱博维茨的赞歌.md,WL-WORK-0322,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
莱奥帕尔迪诗选.md,WL-WORK-3160,T3,市场扩张、现实主义与现代小说成熟，以“职业作者、版权与文学市场”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
莱拉.md,WL-WORK-1278,T6,全球化出版与离散写作扩张，以“全球市场、翻译与奖项”为主要路径的扩散节点（读前预判）,1991—2008：全球化出版与离散写作扩张,扩散,全球市场、翻译与奖项,generated_from_generic,existing,stage,existing,yes
莱拉与马吉农（福祖里）.md,WL-WORK-R1-FUZULI-LAYLA-MAJNUN,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的奠基节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,奠基,印刷、书籍市场与读者扩大,generated_from_generic,existing,stage,existing,yes
莱拉和马吉农.md,WL-WORK-2127,T1,跨区域传播、印刷与中古晚期转型的阿拉伯语—伊斯兰文学网络中，以“手稿、书写与区域性印刷”为主要路径的过渡节点（读前预判）,约1250—1500：跨区域传播、印刷与中古晚期转型,过渡,手稿、书写与区域性印刷 | 教育、宫廷与宗教机构,generated_from_generic,existing,stage,existing,yes
莱茵黄金路线.md,WL-WORK-3106,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
萌芽.md,WL-WORK-1279,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
萍踪侠影录.md,WL-WORK-2609,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
萨兰丁之歌.md,WL-WORK-0827,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
萨加拉纳.md,WL-WORK-1851,T5,世界真正多中心化，以“从欧洲中心到多中心世界文学”为主要路径的边缘突破节点（读前预判）,1955—1965：世界真正多中心化,边缘突破,从欧洲中心到多中心世界文学 | 去殖民、民族国家与后殖民转向,generated_from_generic,existing,mechanism,existing,yes
萨福诗歌.md,WL-WORK-R1-SAPPHO,T0,史诗、经典与公共文学成熟，以“文字、书写与文本固定”为主要路径的成熟节点（读前预判）,古典形成：史诗、经典与公共文学成熟,成熟,文字、书写与文本固定,generated_from_generic,existing,stage,existing,yes
萨维尔.md,WL-WORK-3043,T5,文学爆炸与全球分叉，以“从欧洲中心到多中心世界文学”为主要路径的高峰节点（读前预判）,1965—1975：文学爆炸与全球分叉,高峰,从欧洲中心到多中心世界文学 | 冷战、审查与意识形态体系,generated_from_generic,existing,stage,existing,yes
萨蒂利孔.md,WL-WORK-T0-SATYRICON,T0,传统整合及中古过渡的古罗马传统中，以“散文叙事”为主要路径的过渡节点（读前预判）,帝国与经典化：传统整合及中古过渡,过渡,散文叙事 | 古代虚构叙事边界,generated_from_generic,existing,stage,existing,yes
蒙娜丽莎超速档.md,WL-WORK-0390,T6,全球危机、平台化与类型融合，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,2008—2020：全球危机、平台化与类型融合,形式突破,类型全球化与文类融合 | 数字平台、气候与技术社会 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
蒙普拉森之虎.md,WL-WORK-2610,T4,高峰现代主义与全球扩展，以“小杂志、翻译、流亡与跨国网络”为主要路径的高峰节点（读前预判）,1918—1930：高峰现代主义与全球扩展,高峰,小杂志、翻译、流亡与跨国网络,generated_from_generic,existing,stage,existing,yes
蒙梭罗夫人.md,WL-WORK-1281,T3,市场扩张、现实主义与现代小说成熟，以“报刊、连载与大众读者”为主要路径的成熟节点（读前预判）,1830—1870：市场扩张、现实主义与现代小说成熟,成熟,报刊、连载与大众读者 | 职业作者、版权与文学市场,generated_from_generic,existing,stage,existing,yes
蒙田随笔.md,WL-WORK-3161,T2,印刷扩张、宗教变革与俗语文学兴起，以“印刷、书籍市场与读者扩大”为主要路径的转折节点（读前预判）,1500—1600：印刷扩张、宗教变革与俗语文学兴起,转折,印刷、书籍市场与读者扩大 | 宗教改革、教派竞争与文本政治,generated_from_generic,existing,mechanism,existing,yes
蓝圈人.md,WL-WORK-0234,T6,全球化出版与离散写作扩张，以“类型全球化与文类融合”为主要路径的形式突破节点（读前预判）,1991—2008：全球化出版与离散写作扩张,形式突破,类型全球化与文类融合 | 全球市场、翻译与奖项,generated_from_generic,existing,mechanism,existing,yes
