work,id,topic,priority,topic_affiliation,genealogy_position,topic_role,role_source
莫雷尔的发明.md,WL-WORK-0469,M5.1,◆,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
萌芽.md,WL-WORK-1279,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
蓝.md,WL-WORK-1854,M2,★,拉美 Modernismo,世纪末拉美现代主义前驱 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
蓼喰虫.md,WL-WORK-1855,M3.1,◆,日本与中国现代主义,东亚现代性与新文学转型 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
虚构集.md,WL-WORK-0470,M3.1,★,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
虚构集.md,WL-WORK-0470,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
虹.md,WL-WORK-1283,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
螺丝在拧紧.md,WL-WORK-0833,M3.1,◆,19世纪前史,世纪末现代主义前史与形式酝酿 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
螺旋桨.md,WL-WORK-M32-u87ba-u65cb-u6868,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 核心形成与典范确立,核心典范与形式确立,priority_core
蟹工船.md,WL-WORK-M4-77a665b0,M4,★,无产阶级文学,工业资本主义后阶级文学组织化 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
血婚.md,WL-WORK-1860,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 核心形成与典范确立,核心典范与形式确立,priority_core
血色花瓣.md,WL-WORK-1861,M4,◆,反殖民文学运动,二战后去殖民与民族解放文学 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
被剥夺的人们.md,WL-WORK-M4-37bc5bf8,M4,◆,无产阶级文学,工业资本主义后阶级文学组织化 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
被压迫者教育学.md,WL-WORK-3240,M5.2,★,去殖民,20世纪后期殖民性与知识体系批判 · 核心形成与典范确立,核心典范与形式确立,priority_core
被子.md,WL-WORK-1862,M3.1,★,南亚、波斯与阿拉伯现代主义,殖民现代性与多语言文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
被开垦的处女地.md,WL-WORK-M4-67af3fd1,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
被解放的耶路撒冷.md,WL-WORK-M1-20522661,M1,◆,文艺复兴,文艺复兴展开与世俗主体形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
裤中云.md,WL-WORK-M32-u88e4-u4e2d-u4e91,M3.2,★,俄国未来主义,1910年代革命前后的语言与形式激进化 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
裸体午餐.md,WL-WORK-1864,M4,★,垮掉的一代,1950年代反文化文学共同体 · 核心形成与典范确立,核心典范与形式确立,priority_core
西伯利亚大铁路和小让娜的法兰西散文诗.md,WL-WORK-1866,M3.1,★,法国现代主义,法国都市现代性与文学实验 · 核心形成与典范确立,核心典范与形式确立,priority_core
西方现代性的黑暗面.md,WL-WORK-3235,M5.2,★,去殖民,20世纪后期殖民性与知识体系批判 · 核心形成与典范确立,核心典范与形式确立,priority_core
西西弗神话.md,WL-WORK-M51-80c9326ae6,M5.1,★,存在主义,1940—1950年代主体、自由与责任危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
西里西亚天使.md,WL-WORK-M1-13231696,M1,◆,巴洛克,秩序危机与巴洛克复杂化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
解放了的普罗米修斯.md,WL-WORK-M2-863500B70957,M2,◆,浪漫主义,革命后浪漫主义形成与扩张 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
论人的尊严.md,WL-WORK-M1-64340312,M1,★,人文主义,古典复兴与人文主义奠基 · 核心形成与典范确立,核心典范与形式确立,priority_core
论公民的不服从.md,WL-WORK-M2-704A2B38283C,M2,★,超验主义,19世纪中期美国精神独立与自然观重构 · 核心形成与典范确立,核心典范与形式确立,priority_core
论学问的进步.md,WL-WORK-M1-98483965,M1,◆,人文主义,古典复兴与人文主义奠基 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
论科学与艺术.md,WL-WORK-M1-86850080,M1,◆,启蒙主义,启蒙公共领域与理性批判成熟 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
论自助.md,WL-WORK-M2-447AE02E286F,M2,★,超验主义,19世纪中期美国精神独立与自然观重构 · 核心形成与典范确立,核心典范与形式确立,priority_core
词本身宣言.md,WL-WORK-M32-u8bcd-u672c-u8eab-u5ba3-u8a00,M3.2,★,俄国未来主义,1910年代革命前后的语言与形式激进化 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
诗与歌谣.md,WL-WORK-M2-9920C8DE9A4D,M2,◆,唯美主义,世纪末审美自主与艺术至上 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
诗章.md,WL-WORK-1871,M3.1,◆,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
诗艺.md,WL-WORK-M1-30389564,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
谢里.md,WL-WORK-1873,M3.1,◆,法国现代主义,法国都市现代性与文学实验 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
贪得无厌.md,WL-WORK-1874,M3.1,◆,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
贴花.md,WL-WORK-M32-u8d34-u82b1,M3.2,◆,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
费加罗的婚礼.md,WL-WORK-M1-65186280,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
费尔迪杜凯.md,WL-WORK-1876,M3.1,★,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
费德尔.md,WL-WORK-2832,M1,★,古典主义,规则、宫廷与公共规范化 · 核心形成与典范确立,核心典范与形式确立,priority_core
贺拉斯.md,WL-WORK-M1-13735026,M1,◆,古典主义,规则、宫廷与公共规范化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
赞格齐.md,WL-WORK-M32-u8d5e-u683c-u9f50,M3.2,★,俄国未来主义,1910年代革命前后的语言与形式激进化 · 核心形成与典范确立,核心典范与形式确立,priority_core
超现实主义宣言.md,WL-WORK-M32-u8d85-u73b0-u5b9e-u4e3b-u4e49-u5ba3-u8a00,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
超现实主义第二宣言.md,WL-WORK-M32-u8d85-u73b0-u5b9e-u4e3b-u4e49-u7b2c-u4e8c-u5ba3-u8a00,M3.2,◆,超现实主义,1920年代后无意识、自动书写与革命想象 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
越界.md,WL-WORK-M4-f3374fa3,M4,★,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 核心形成与典范确立,核心典范与形式确立,priority_core
路.md,WL-WORK-0435,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
跳房子.md,WL-WORK-1877,M4,★,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
跳房子.md,WL-WORK-1877,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
身体之重.md,WL-WORK-3254,M5.2,◆,酷儿,1980—1990年代后性别/性规范解构 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
转变.md,WL-WORK-M32-u8f6c-u53d8,M3.2,◆,德语表现主义,一战前后都市、战争与主体危机 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
达摩流浪者.md,WL-WORK-M4-6399ac2a,M4,★,垮掉的一代,1950年代反文化文学共同体 · 核心形成与典范确立,核心典范与形式确立,priority_core
达洛维夫人.md,WL-WORK-1878,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
达达七篇宣言与杂灯.md,WL-WORK-M32-u8fbe-u8fbe-u4e03-u7bc7-u5ba3-u8a00-u4e0e-u6742-u706f,M3.2,★,达达主义,一战时期反艺术与制度否定 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
达达宣言 1918.md,WL-WORK-M32-u8fbe-u8fbe-u5ba3-u8a00-1918,M3.2,★,达达主义,一战时期反艺术与制度否定 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
达达年鉴.md,WL-WORK-M32-u8fbe-u8fbe-u5e74-u9274,M3.2,★,达达主义,一战时期反艺术与制度否定 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
返乡笔记.md,WL-WORK-M32-u8fd4-u4e61-u7b14-u8bb0,M3.2,★,超现实主义,1920年代后无意识、自动书写与革命想象 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
返乡笔记.md,WL-WORK-M32-u8fd4-u4e61-u7b14-u8bb0,M4,★,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
远大前程.md,WL-WORK-1300,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
远征.md,WL-WORK-1880,M3.1,◆,法国现代主义,法国都市现代性与文学实验 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
迷失在游乐园.md,WL-WORK-M51-edd5739689,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
迷惘.md,WL-WORK-1882,M3.1,◆,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
送菜升降机.md,WL-WORK-M51-3b5325b63a,M5.1,◆,荒诞,1950—1960年代语言与行动失效 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
逆流.md,WL-WORK-1883,M2,★,颓废主义,世纪末颓废意识与文化危机 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
逆流.md,WL-WORK-1883,M3.1,◆,19世纪前史,世纪末现代主义前史与形式酝酿 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
逸乐.md,WL-WORK-M2-AEC6B8C0BADF,M2,★,颓废主义,世纪末颓废意识与文化危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
道林·格雷的画像.md,WL-WORK-0852,M2,★,唯美主义,世纪末审美自主与艺术至上 · 核心形成与典范确立,核心典范与形式确立,priority_core
都市风景线.md,WL-WORK-1885,M3.1,◆,日本与中国现代主义,东亚现代性与新文学转型 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
都柏林人.md,WL-WORK-1886,M3.1,★,英国—爱尔兰现代主义,英爱高峰现代主义与形式革新 · 核心形成与典范确立,核心典范与形式确立,priority_core
酒吧长谈.md,WL-WORK-1887,M4,★,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 核心形成与典范确立,核心典范与形式确立,priority_core
酷儿.md,WL-WORK-M4-2f6fbd03,M4,◆,垮掉的一代,1950年代反文化文学共同体 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
酷儿.md,WL-WORK-M4-2f6fbd03,M5.2,◆,酷儿,1980—1990年代后性别/性规范解构 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
酷儿理论导论.md,WL-WORK-3257,M5.2,◆,酷儿,1980—1990年代后性别/性规范解构 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
醇酒集.md,WL-WORK-1888,M3.1,★,法国现代主义,法国都市现代性与文学实验 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
重现的时光.md,WL-WORK-1889,M3.1,★,法国现代主义,法国都市现代性与文学实验 · 核心形成与典范确立,核心典范与形式确立,priority_core
野草.md,WL-WORK-1890,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
金山.md,WL-WORK-M2-02EDC379E702,M2,◆,拉美 Modernismo,世纪末拉美现代主义前驱 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
金锁记.md,WL-WORK-1893,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
钢铁是怎样炼成的.md,WL-WORK-1312,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
钱多斯勋爵的信.md,WL-WORK-1895,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
铁皮鼓.md,WL-WORK-2143,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
阴影之歌.md,WL-WORK-M4-69d079e4,M4,★,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
阿克塞尔.md,WL-WORK-M2-8E745F2BC670,M2,◆,象征主义,世纪末象征主义与现代主义前夜 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
阿尔塔索尔.md,WL-WORK-1900,M3.1,★,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
阿尔塔索尔.md,WL-WORK-1900,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
阿尔戈号.md,WL-WORK-3260,M5.2,★,酷儿,1980—1990年代后性别/性规范解构 · 核心形成与典范确立,核心典范与形式确立,priority_core
阿尔特米奥·克罗斯之死.md,WL-WORK-1318,M4,★,拉丁美洲Boom,1960—1970年代跨国出版与全球文学网络 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
阿斯特洛菲尔与斯黛拉.md,WL-WORK-M1-90232500,M1,◆,文艺复兴,文艺复兴展开与世俗主体形成 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
阿莱夫.md,WL-WORK-1902,M5.1,★,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 核心形成与典范确立,核心典范与形式确立,priority_core
阿里埃尔.md,WL-WORK-1903,M2,★,拉美 Modernismo,世纪末拉美现代主义前驱 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
阿难陀寺.md,WL-WORK-R3-37264822,M4,★,民族主义文学,19世纪民族建构与语言文化共同体形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
随笔集.md,WL-WORK-M1-71878183,M1,★,人文主义,古典复兴与人文主义奠基 · 核心形成与典范确立,核心典范与形式确立,priority_core
雅各布·冯·贡腾.md,WL-WORK-1905,M3.1,◆,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
雪.md,WL-WORK-M2-7D742A7F9F36,M2,◆,拉美 Modernismo,世纪末拉美现代主义前驱 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
雪国.md,WL-WORK-1906,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
雾.md,WL-WORK-1907,M3.1,★,伊比利亚与意大利现代主义,南欧现代主义与先锋互动 · 核心形成与典范确立,核心典范与形式确立,priority_core
青年近卫军.md,WL-WORK-M4-36ab0835,M4,★,社会主义现实主义,革命后制度化文学与国家文化政策 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
非仆从.md,WL-WORK-M32-u975e-u4ec6-u4ece,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
靠近野心的心.md,WL-WORK-1909,M3.1,★,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
项狄传.md,WL-WORK-2833,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
颜料.md,WL-WORK-M4-a9aed1a2,M4,★,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 核心形成与典范确立,核心典范与形式确立,priority_core
飞行行为.md,WL-WORK-3273,M5.2,★,生态文学,环境危机进入文学世界建构与叙事实践 · 核心形成与典范确立,核心典范与形式确立,priority_core
食人主义宣言.md,WL-WORK-M32-u98df-u4eba-u4e3b-u4e49-u5ba3-u8a00,M3.2,★,伊比利亚与拉美先锋派,1920—1930年代跨大西洋先锋扩散 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
食人宣言.md,WL-WORK-1911,M3.1,★,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 理论化与范式确立,理论阐释与范式建构,mechanism_tag
饥饿.md,WL-WORK-1913,M3.1,★,19世纪前史,世纪末现代主义前史与形式酝酿 · 核心形成与典范确立,核心典范与形式确立,priority_core
饥饿之路.md,WL-WORK-M51-a29f063657,M5.1,★,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 核心形成与典范确立,核心典范与形式确立,priority_core
马亚一家.md,WL-WORK-3169,M2,◆,现实主义,19世纪中期现实主义成熟 · 反拨、转型与再阐释,批判反拨与范式转型,mechanism_tag
马尔特手记.md,WL-WORK-1917,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 传播扩散与跨地域转译,传播扩散与跨地域连接,mechanism_tag
马库纳伊玛.md,WL-WORK-1919,M3.1,★,拉丁美洲先锋与巴西Modernismo,拉美先锋与本土现代主义形成 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
马戏团之夜.md,WL-WORK-M51-d4086a919b,M5.1,◆,魔幻现实主义,1940年代后现实层级重组与全球扩展 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
马特罗.md,WL-WORK-M51-45e3b5d025,M5.1,◆,法国新小说,1950—1970年代再现与人物危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
骰子一掷永远取消不了偶然.md,WL-WORK-1921,M2,★,象征主义,世纪末象征主义与现代主义前夜 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
骰子一掷永远取消不了偶然.md,WL-WORK-1921,M3.1,★,19世纪前史,世纪末现代主义前史与形式酝酿 · 跨专题连接与转型,跨专题连接与范式转译,cross_membership
高中生的血与勇气.md,WL-WORK-M51-c014cfa734,M5.1,◆,后现代主义,1960年代后文本权威、媒介与历史叙事危机 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
高老头.md,WL-WORK-1333,M2,★,现实主义,19世纪中期现实主义成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
魔山.md,WL-WORK-1334,M3.1,★,德语—奥地利—中欧现代主义,中欧帝国危机与现代主义形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
鱼目集.md,WL-WORK-1922,M3.1,◆,日本与中国现代主义,东亚现代性与新文学转型 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
鲁滨逊漂流记.md,WL-WORK-0889,M1,★,启蒙主义,启蒙公共领域与理性批判成熟 · 核心形成与典范确立,核心典范与形式确立,priority_core
鳄鱼街.md,WL-WORK-1924,M3.1,★,俄罗斯与东欧现代主义,革命、帝国解体与东欧现代主义 · 核心形成与典范确立,核心典范与形式确立,priority_core
麦克梯格.md,WL-WORK-M2-1F595071EBD7,M2,◆,自然主义,19世纪后期科学化与社会决定论 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
麦琪姑娘.md,WL-WORK-M2-CDA212861CD7,M2,★,自然主义,19世纪后期科学化与社会决定论 · 核心形成与典范确立,核心典范与形式确立,priority_core
黄色墙纸.md,WL-WORK-0894,M5.2,★,女性主义,20世纪女性解放运动与文学批评制度化 · 核心形成与典范确立,核心典范与形式确立,priority_core
黑人女性主义思想.md,WL-WORK-3247,M5.2,◆,女性主义,20世纪女性解放运动与文学批评制度化 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
黑暗生态学.md,WL-WORK-3267,M5.2,◆,生态批评,20世纪后期环境危机与人类中心主义反思 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
黑暗的心.md,WL-WORK-0903,M3.1,★,19世纪前史,世纪末现代主义前史与形式酝酿 · 核心形成与典范确立,核心典范与形式确立,priority_core
黑珍珠.md,WL-WORK-M2-4738F239713C,M2,◆,拉美 Modernismo,世纪末拉美现代主义前驱 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
黑皮肤，白面具.md,WL-WORK-3227,M5.2,★,后殖民,二战后帝国解体与表述政治形成 · 核心形成与典范确立,核心典范与形式确立,priority_core
黑色标签.md,WL-WORK-M4-41877ba2,M4,◆,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
黑色祭品.md,WL-WORK-M4-8d39fba8,M4,★,Négritude,1930—1950年代法语黑人国际主义与文化解放 · 核心形成与典范确立,核心典范与形式确立,priority_core
黑莓.md,WL-WORK-M4-cec6776f,M4,◆,哈莱姆文艺复兴,1920年代黑人都市文化复兴 · 扩展、变体与后续发展,专题扩展与变体生成,priority_focus
鼠疫.md,WL-WORK-1929,M5.1,★,存在主义,1940—1950年代主体、自由与责任危机 · 组织化与集体扩展,文学动员与共同体建构,mechanism_tag
齿轮.md,WL-WORK-1930,M3.1,★,日本与中国现代主义,东亚现代性与新文学转型 · 核心形成与典范确立,核心典范与形式确立,priority_core
